company,name,fuel,km_driven,mileage,torque,seats,engine,Insurance_id,Insurance
Maruti,Maruti Omni 8 Seater BSIV,Petrol,70000,23.1 kmpl,172.5Nm@ 1750rpm,5,796 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Hyundai,Hyundai i20 1.2 Asta Dual Tone,Petrol,120000,20.0 kmpl,84Nm@ 3500rpm,5,1248 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Alto 800 CNG LXI Optional,CNG,25000,13.93 kmpl,59Nm@ 2500rpm,4,796 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Alto K10 VXI Airbag,Petrol,70000,18.16 kmpl,200Nm@ 1750rpm,5,1197 CC,7,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
Hyundai,Hyundai Verna VTVT 1.6 SX Option,Petrol,50000,23.1 kmpl,,5,1248 CC,7,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
Tata,Tata Safari DICOR 2.2 LX 4x2,Diesel,35000,15.29 kmpl,6.1kgm@ 3000rpm,7,796 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti 800 Std,Petrol,2388,21.21 kmpl,114.7Nm@ 4000rpm,4,998 CC,7,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
Honda,Honda City i VTEC VX,Petrol,16200,17.6 kmpl,200Nm@ 1750rpm,5,1591 CC,7,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
Honda,Honda City V MT,Petrol,10000,23.0 kmpl,60Nm@ 3500rpm,5,1198 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Swift Dzire VXi AT,Petrol,15000,21.19 kmpl,90Nm@ 3500rpm,5,2179 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Vitara Brezza VDi,Diesel,5000,22.54 kmpl,151Nm@ 4850rpm,5,796 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Alto K10 VXI,Petrol,42000,23.8 kmpl,104Nm@ 4000rpm,5,1368 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Toyota,Toyota Fortuner 4x4 MT,Diesel,60000,15.96 kmpl,320Nm@ 1700-2700rpm,7,1497 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Toyota,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Diesel,76000,20.45 kmpl,59Nm@ 2500rpm,7,1497 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Mercedes-Benz,Mercedes-Benz B Class B180,Diesel,5000,20.4 kmpl,250Nm@ 1750-2500rpm,5,1197 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Honda,Honda Amaze S Diesel,Diesel,28900,22.5 kmpl,145Nm@ 4600rpm,5,1248 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Honda,Honda City i DTEC S,Diesel,86300,12.99 kmpl,146Nm@ 4800rpm,5,998 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Maruti,Maruti Ciaz Zeta,Petrol,23300,18.6 kmpl,115Nm@ 4000rpm,5,2982 CC,7,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
Honda,Honda Jazz VX Diesel,Diesel,32600,12.99 kmpl,200Nm@ 1750rpm,5,2494 CC,7,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
Toyota,Toyota Innova Crysta 2.8 ZX AT BSIV,Diesel,10300,27.39 kmpl,90Nm@ 3500rpm,7,2143 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Toyota,Toyota Innova 2.5 G (Diesel) 7 Seater,Diesel,77000,19.6 kmpl,343Nm@ 1400-3400rpm,7,1498 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Audi,Audi A6 2.0 TDI Technology,Diesel,99000,18.2 kmpl,200Nm@ 1400-3400rpm,5,2477 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Toyota,Toyota Corolla Altis 1.8 VL CVT,Petrol,27800,23.65 kmpl,200Nm@ 1250-4000rpm,5,1498 CC,7,"Comapany Name:HDFC Ergo,Policy Plan:1200000"
Audi,Audi A6 2.0 TDI  Design Edition,Diesel,49800,12.55 kmpl,200Nm@ 1750rpm,5,1462 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Mercedes-Benz,Mercedes-Benz New C-Class 220 CDI AT,Diesel,151000,26.59 kmpl,400Nm@ 2000-2500rpm,5,1498 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Tata,Tata Manza ELAN Quadrajet BS IV,Diesel,54700,12.55 kmpl,200Nm@ 1750rpm,5,2755 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Hyundai,Hyundai i10 Magna,Petrol,64000,11.5 kmpl,138Nm@ 4400rpm,5,2494 CC,11,"Comapany Name:ICICI Lombord,Policy Plan:2000000"
Hyundai,Hyundai i20 Asta 1.4 CRDi,Diesel,63000,17.0 kmpl,200Nm@ 1750rpm,5,1968 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Swift Dzire ZDI,Diesel,127700,19.49 kmpl,360Nm@ 1200-3400rpm,5,1798 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Ford,Ford Figo 1.2P Titanium MT,Petrol,99000,16.2 kmpl,200Nm@ 1200-3600rpm,5,1968 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Baleno Delta 1.2,Petrol,33900,25.32 kmpl,380Nm@ 1750-2500rpm,5,2143 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Volkswagen,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,Diesel,25000,16.02 kmpl,173Nm@ 4000rpm,5,1248 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Honda,Honda City i DTEC VX,Diesel,50000,23.5 kmpl,400Nm@ 1750-3000rpm,5,1197 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Wagon R AMT VXI,Petrol,59000,16.6 kmpl,400Nm@ 1400-2800rpm,5,1396 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Volkswagen,Volkswagen Ameo 1.5 TDI Comfortline,Diesel,120000,19.81 kmpl,200Nm@ 1750-3000rpm,5,1248 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Vitara Brezza VDi,Diesel,110000,19.0 kmpl,111.7Nm@ 4000rpm,5,1196 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Vitara Brezza ZDi Plus AMT,Diesel,60000,18.9 kmpl,219.6Nm@ 1500-2750rpm,5,1197 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Hyundai,Hyundai i10 Magna,Petrol,147000,23.9 kmpl,190Nm@ 2000rpm,5,1498 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Swift VDI Deca,Diesel,25000,24.52 kmpl,112Nm@ 4000rpm,5,1498 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Toyota,Toyota Fortuner 4x4 MT,Diesel,30000,25.2 kmpl,115Nm@ 4000rpm,7,998 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Swift Star VDI,Diesel,40000,17.01 kmpl,250Nm@ 1500-3000rpm,5,1498 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Ertiga ZXI,Petrol,135000,25.2 kmpl,200Nm@ 1750rpm,7,1248 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Volkswagen,Volkswagen Vento Diesel Highline,Diesel,30000,25.32 kmpl,90Nm@ 3500rpm,5,1197 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Toyota,Toyota Innova 2.5 VX (Diesel) 8 Seater,Diesel,80000,20.8 kmpl,250Nm@ 1500-3000rpm,8,1248 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Ford,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,Diesel,70000,20.14 kmpl,200Nm@ 1750rpm,5,2982 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
BMW,BMW X1 sDrive20i xLine,Petrol,9850,18.5 kmpl,200Nm@ 1750rpm,5,1248 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Celerio ZXI MT BSIV,Petrol,60000,22.74 kmpl,111.7Nm@ 4000rpm,5,1373 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Alto 800 LXI BSIV,Petrol,70000,27.62 kmpl,190Nm@ 2000rpm,5,1598 CC,10,"Comapany Name:ICICI Lombord,Policy Plan:1800000"
Hyundai,Hyundai i10 Era 1.1,Petrol,78000,17.5 kmpl,343Nm@ 1400-3400rpm,5,1498 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Omni 8 Seater BSIV,Petrol,120000,20.54 kmpl,190Nm@ 2000rpm,5,1998 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Wagon R LXI LPG BSIV,LPG,120000,18.6 kmpl,130Nm@ 4000rpm,5,998 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Volkswagen,Volkswagen Polo 1.2 MPI Comfortline,Petrol,70000,23.59 kmpl,,5,1198 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Hyundai,Hyundai i10 Magna 1.1L,Petrol,170000,18.9 kmpl,250Nm@ 1500-2500rpm,5,796 CC,10,"Comapany Name:ICICI Lombord,Policy Plan:1800000"
Volkswagen,Volkswagen Vento Petrol Highline,Petrol,140000,28.4 kmpl,200Nm@ 1200-3600rpm,5,796 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Hyundai,Hyundai i20 Asta Optional with Sunroof 1.2,Petrol,90000,12.9 kmpl,205Nm@ 1750-3250rpm,5,1086 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Swift Dzire LDI,Diesel,30000,17.5 kmpl,280Nm@ 1350-4600rpm,5,796 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Hyundai,Hyundai Xcent 1.2 Kappa SX Option AT,Petrol,10000,24.7 kmpl,90Nm@ 3500rpm,5,998 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Alto LX BSIII,Petrol,49000,22.74 kmpl,104Nm@ 4000rpm,5,1198 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Hyundai,Hyundai i20 1.4 Asta Option,Diesel,32000,25.44 kmpl,69Nm@ 3500rpm,5,1086 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Wagon R VXI,Petrol,38000,23.84 kmpl,69Nm@ 3500rpm,5,1598 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Tata,Tata Manza Aura (ABS) Quadrajet,Diesel,78000,25.44 kmpl,,5,998 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Swift VXI,Petrol,28000,13.93 kmpl,99.04Nm@ 4500rpm,5,1197 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Eeco 7 Seater Standard BSIV,Petrol,32000,15.6 kmpl,6.1kgm@ 3000rpm,7,1248 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Baleno Zeta 1.2,Petrol,44000,17.88 kmpl,77Nm@ 3500rpm,5,1197 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Mahindra,Mahindra Scorpio VLX AT AIRBAG BSIV,Diesel,42000,26.59 kmpl,110Nm@ 3750rpm,8,796 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Ford,Ford Freestyle Titanium Petrol BSIV,Petrol,45000,28.4 kmpl,99.04Nm@ 4500rpm,5,1396 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Hyundai,Hyundai Verna VTVT 1.6 SX,Petrol,12000,22.7 kmpl,153Nm@ 3800rpm,5,998 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Volkswagen,Volkswagen Passat 1.8 TSI MT,Petrol,55500,20.92 kmpl,90Nm@ 3500rpm,5,1248 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Tata,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,Petrol,61500,19.3 kmpl,113.7Nm@ 4000rpm,5,1197 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Mahindra,Mahindra XUV500 W11 Option AWD,Diesel,150000,17.2 kmpl,190Nm@ 2000rpm,7,1196 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Tata,Tata Indigo CS LS (TDI) BS-III,Diesel,72000,13.6 kmpl,114Nm@ 4000rpm,5,1197 CC,10,"Comapany Name:ICICI Lombord,Policy Plan:1800000"
Hyundai,Hyundai Verna 1.6 SX,Diesel,68000,,62Nm@ 3000rpm,5,2179 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Hyundai,Hyundai i20 Magna 1.4 CRDi (Diesel),Diesel,110000,18.6 kmpl,219.7Nm@ 1500-2750rpm,5,1194 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Toyota,Toyota Corolla Altis G,Petrol,77000,21.1 kmpl,90Nm@ 3500rpm,5,1591 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Celerio VXI,Petrol,100000,15.37 kmpl,200Nm@ 1750-3000rpm,5,1798 CC,10,"Comapany Name:ICICI Lombord,Policy Plan:1800000"
Maruti,Maruti Vitara Brezza ZDi Plus Dual Tone,Diesel,10000,17.5 kmpl,113Nm@ 4200rpm,5,1172 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Swift Dzire VXI,Petrol,100000,19.1 kmpl,101Nm@ 3000rpm,5,2179 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Wagon R VXI BS IV,Petrol,35000,18.6 kmpl,115Nm@ 4000rpm,5,1405 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Hyundai,Hyundai Creta 1.6 CRDi SX,Diesel,70000,23.84 kmpl,290Nm@ 1800-2800rpm,5,1396 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Ford,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,Diesel,5000,18.2 kmpl,120Nm@ 4250rpm,5,1798 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Swift Dzire VDi,Diesel,37800,19.7 kmpl,151Nm@ 4850rpm,5,998 CC,10,"Comapany Name:ICICI Lombord,Policy Plan:1800000"
Renault,Renault KWID 1.0,Petrol,114000,17.1 kmpl,250Nm@ 1500~4500rpm,5,1248 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Celerio VXI,Petrol,48000,17.4 kmpl,96 Nm at 3000 rpm,5,1197 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Alto LXi,Petrol,32000,20.54 kmpl,360Nm@ 1750-2800rpm,5,998 CC,10,"Comapany Name:ICICI Lombord,Policy Plan:1800000"
Hyundai,Hyundai Santro Xing GLS,Petrol,100000,20.92 kmpl,135Nm@ 2500rpm,5,1461 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Ertiga VDI,Diesel,150000,18.6 kmpl,259.8Nm@ 1900-2750rpm,7,1582 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Honda,Honda Amaze S i-VTEC,Petrol,69000,15.42 kmpl,219.6Nm@ 1500-2750rpm,5,1498 CC,10,"Comapany Name:ICICI Lombord,Policy Plan:1800000"
Audi,Audi Q5 35TDI Premium Plus,Diesel,100000,16.02 kmpl,173Nm@ 4000rpm,5,1248 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Jaguar,Jaguar XF 2.0 Diesel Portfolio,Diesel,13000,18.5 kmpl,90Nm@ 3500rpm,5,999 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Land,Land Rover Discovery Sport TD4 SE,Diesel,60000,21.1 kmpl,200Nm@ 1750rpm,7,998 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Mercedes-Benz,Mercedes-Benz S-Class S 350 CDI,Diesel,40000,,115Nm@ 4000rpm,5,796 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
BMW,BMW 5 Series 520d Sport Line,Diesel,35000,15.3 kmpl,90Nm@ 3500rpm,5,1248 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
BMW,BMW X4 M Sport X xDrive20d,Diesel,120000,19.7 kmpl,,5,1248 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Mercedes-Benz,Mercedes-Benz E-Class E250 Edition E,Diesel,70000,18.2 kmpl,200Nm@ 1900rpm,5,1198 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Honda,Honda City i-VTEC CVT VX,Petrol,50000,,259.9Nm@ 1900-2750rpm,5,1968 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Toyota,Toyota Corolla Altis 1.8 G CVT,Petrol,76139,17.57 kmpl,205Nm@ 1750-3250rpm,5,2487 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Volvo,Volvo XC40 D4 R-Design,Diesel,175000,19.68 kmpl,190Nm@ 2000rpm,5,1999 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Audi,Audi Q7 35 TDI Quattro Premium,Diesel,25000,19.7 kmpl,91Nm@ 4250rpm,7,3604 CC,14,"Comapany Name:Reliance General,Policy Plan:1400000"
Maruti,Maruti Ciaz ZDi,Diesel,40000,12.99 kmpl,90Nm@ 3500rpm,5,1999 CC,15,"Comapany Name:Royal Sundaram,Policy Plan:1000000"
Mercedes-Benz,Mercedes-Benz S-Class S 350 CDI,Diesel,65000,13.6 kmpl,62Nm@ 3000rpm,5,2987 CC,15,"Comapany Name:Royal Sundaram,Policy Plan:1000000"
BMW,BMW 5 Series 523i,Petrol,90000,22.74 kmpl,200Nm@ 1750rpm,5,1995 CC,15,"Comapany Name:Royal Sundaram,Policy Plan:1000000"
Jaguar,Jaguar XE 2016-2019 2.0L Diesel Prestige,Diesel,80000,20.51 kmpl,96.1Nm@ 3000rpm,5,1995 CC,15,"Comapany Name:Royal Sundaram,Policy Plan:1000000"
Tata,Tata Nexon 1.2 Revotron XZ Plus Dual Tone,Petrol,110000,19.3 kmpl,200Nm@ 1750rpm,5,1798 CC,15,"Comapany Name:Royal Sundaram,Policy Plan:1000000"
Volkswagen,Volkswagen Vento Petrol Highline,Petrol,1303,14.1 kmpl,109Nm@ 4500rpm,5,2143 CC,15,"Comapany Name:Royal Sundaram,Policy Plan:1000000"
Hyundai,Hyundai Elantra SX,Petrol,31800,24.3 kmpl,400nm@ 1750-3000rpm,5,1451 CC,3,"Comapany Name:Go Digit,Policy Plan:4000"
Mercedes-Benz,Mercedes-Benz CLA 200 CGI Sport,Petrol,20000,11.36 kmpl,202Nm@ 3600-5200rpm,5,1497 CC,3,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Ertiga ZXI,Petrol,45000,19.67 kmpl,430Nm@ 1750-2500rpm,7,1798 CC,3,"Comapany Name:Go Digit,Policy Plan:4000"
Mercedes-Benz,Mercedes-Benz New C-Class C 200 AVANTGARDE,Petrol,17000,24.3 kmpl,347Nm@ 4300rpm,5,1969 CC,12,"Comapany Name:Magma HDI,Policy Plan:3259"
Honda,Honda City V AT,Petrol,21000,18.6 kmpl,382nm@ 1750-2250rpm,5,2967 CC,13,"Comapany Name:Magma HDI,Policy Plan:3600"
Toyota,Toyota Glanza V CVT,Petrol,37000,18.9 kmpl,620Nm@ 1600-2400rpm,5,1248 CC,3,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Alto K10 VXI,Petrol,29500,18.7 kmpl,400Nm@ 1750-2500rpm,5,2987 CC,17,"Comapany Name:Universal Sompo,Policy Plan:5670"
Maruti,Maruti Swift VXI,Petrol,27000,15.4 kmpl,,5,2497 CC,3,"Comapany Name:Go Digit,Policy Plan:4000"
Toyota,Toyota Innova Crysta 2.8 ZX AT BSIV,Diesel,7500,17.7 kmpl,400Nm@ 1750-2500rpm,7,1797 CC,3,"Comapany Name:Go Digit,Policy Plan:4000"
Tata,Tata Nexon 1.5 Revotorq XZA Plus DualTone,Diesel,50000,19.34 kmpl,250@ 1250-5000rpm,5,1999 CC,12,"Comapany Name:Magma HDI,Policy Plan:3259"
BMW,BMW 3 Series 320d Luxury Line,Diesel,35000,18.16 kmpl,500Nm@ 1600-1800rpm,5,1198 CC,3,"Comapany Name:Go Digit,Policy Plan:4000"
Toyota,Toyota Camry 2.5 Hybrid,Petrol,19000,21.1 kmpl,250Nm@ 1600-3600rpm,5,1598 CC,3,"Comapany Name:Go Digit,Policy Plan:4000"
BMW,BMW 5 Series 520d Luxury Line,Diesel,41000,22.7 kmpl,145Nm@ 4600rpm,5,1797 CC,3,"Comapany Name:Go Digit,Policy Plan:4000"
Toyota,Toyota Camry W4 (AT),Petrol,39000,19.0 kmpl,173Nm@ 4000rpm,5,1598 CC,12,"Comapany Name:Magma HDI,Policy Plan:3259"
Maruti,Maruti Ertiga BSIV ZXI Plus,Petrol,22000,20.3 kmpl,400Nm,7,1991 CC,3,"Comapany Name:Go Digit,Policy Plan:4000"
Volvo,Volvo XC90 T8 Excellence BSIV,Petrol,53000,23.0 kmpl,550Nm@ 1750-2750rpm,4,1373 CC,12,"Comapany Name:Magma HDI,Policy Plan:3259"
Volkswagen,Volkswagen Vento Diesel Highline,Diesel,40000,22.71 kmpl,200Nm@ 1750rpm,5,1991 CC,3,"Comapany Name:Go Digit,Policy Plan:4000"
Ford,Ford Figo Aspire 1.2 Ti-VCT Trend,Petrol,47000,18.9 kmpl,490Nm@ 1600rpm,5,1497 CC,12,"Comapany Name:Magma HDI,Policy Plan:3259"
Ford,Ford Figo Diesel LXI,Diesel,72200,23.65 kmpl,250 Nm at 2750 rpm,5,1197 CC,3,"Comapany Name:Go Digit,Policy Plan:4000"
Maruti,Maruti Swift VXI Optional,Petrol,49900,23.0 kmpl,177.5Nm@ 4700rpm,5,998 CC,12,"Comapany Name:Magma HDI,Policy Plan:3259"
Maruti,Maruti Wagon R AMT VXI,Petrol,9000,17.1 kmpl,430Nm@ 1750-2500rpm,5,1197 CC,13,"Comapany Name:Magma HDI,Policy Plan:3600"
Hyundai,Hyundai i20 Magna 1.2,Petrol,11000,20.77 kmpl,170Nm@ 1750-4000rpm,5,2755 CC,12,"Comapany Name:Magma HDI,Policy Plan:3259"
